Participant	reactionTime	CuedHalf	Alignment	participant	Probability
2	0.8615214628039861	Bottom	Aligned	2	75cueTarget
3	0.7834128314897094	Bottom	Aligned	3	75cueTarget
4	0.8906759200947363	Bottom	Aligned	4	75cueTarget
5	0.4433463213314368	Bottom	Aligned	5	75cueTarget
6	0.4166027574136127	Bottom	Aligned	6	75cueTarget
7	0.5016932499520912	Bottom	Aligned	7	75cueTarget
8	1.1267688366769106	Bottom	Aligned	8	75cueTarget
9	0.37961418015480625	Bottom	Aligned	9	75cueTarget
10	0.7259899875100522	Bottom	Aligned	10	75cueTarget
11	0.5119337874633526	Bottom	Aligned	11	75cueTarget
12	0.7914740042018821	Bottom	Aligned	12	75cueTarget
13	0.6427514017439598	Bottom	Aligned	13	75cueTarget
14	0.38625053745844135	Bottom	Aligned	14	75cueTarget
15	0.7369304944167788	Bottom	Aligned	15	75cueTarget
16	0.918324645551489	Bottom	Aligned	16	75cueTarget
17	0.8056776710145641	Bottom	Aligned	17	75cueTarget
18	1.088905965627169	Bottom	Aligned	18	75cueTarget
19	0.6014881404941141	Bottom	Aligned	19	75cueTarget
20	0.48792603328838596	Bottom	Aligned	20	75cueTarget
1	0.5444612804276403	Bottom	MisAligned	1	75cueTarget
2	0.8139165346241201	Bottom	MisAligned	2	75cueTarget
3	0.6772179146606921	Bottom	MisAligned	3	75cueTarget
4	0.7905139959886964	Bottom	MisAligned	4	75cueTarget
5	0.42801574888876026	Bottom	MisAligned	5	75cueTarget
6	0.37387682241233516	Bottom	MisAligned	6	75cueTarget
7	0.6716087967439305	Bottom	MisAligned	7	75cueTarget
8	0.9770433370177694	Bottom	MisAligned	8	75cueTarget
9	0.36188973703947674	Bottom	MisAligned	9	75cueTarget
10	0.7365966751215236	Bottom	MisAligned	10	75cueTarget
11	0.5200290738918257	Bottom	MisAligned	11	75cueTarget
12	1.0094263134815264	Bottom	MisAligned	12	75cueTarget
13	0.6533796807370064	Bottom	MisAligned	13	75cueTarget
14	0.3554551967583932	Bottom	MisAligned	14	75cueTarget
15	0.6397251259819313	Bottom	MisAligned	15	75cueTarget
16	0.8420870252948589	Bottom	MisAligned	16	75cueTarget
17	0.6621747365034852	Bottom	MisAligned	17	75cueTarget
18	1.0509041419305245	Bottom	MisAligned	18	75cueTarget
19	0.5762338816738914	Bottom	MisAligned	19	75cueTarget
20	0.47531532790006686	Bottom	MisAligned	20	75cueTarget
