Participant	isCorrect	CuedHalf	Alignment	participant
1	0.8666666666666667	Top	Aligned	1
2	0.6333333333333333	Top	Aligned	2
3	0.6	Top	Aligned	3
4	0.21666666666666667	Top	Aligned	4
5	0.8	Top	Aligned	5
6	0.85	Top	Aligned	6
7	0.8166666666666667	Top	Aligned	7
8	0.7333333333333333	Top	Aligned	8
9	0.4	Top	Aligned	9
10	0.6166666666666667	Top	Aligned	10
11	0.8166666666666667	Top	Aligned	11
12	0.8833333333333333	Top	Aligned	12
13	0.7	Top	Aligned	13
14	0.7166666666666667	Top	Aligned	14
15	0.85	Top	Aligned	15
16	0.9333333333333333	Top	Aligned	16
17	0.8666666666666667	Top	Aligned	17
18	0.5	Top	Aligned	18
19	0.9	Top	Aligned	19
20	0.8333333333333334	Top	Aligned	20
1	0.9333333333333333	Top	MisAligned	1
2	0.5666666666666667	Top	MisAligned	2
3	0.5166666666666667	Top	MisAligned	3
4	0.31666666666666665	Top	MisAligned	4
5	1.0	Top	MisAligned	5
6	0.8833333333333333	Top	MisAligned	6
7	1.0	Top	MisAligned	7
8	0.9	Top	MisAligned	8
9	0.5166666666666667	Top	MisAligned	9
10	0.7	Top	MisAligned	10
11	0.9166666666666666	Top	MisAligned	11
12	0.9333333333333333	Top	MisAligned	12
13	0.9	Top	MisAligned	13
14	0.9166666666666666	Top	MisAligned	14
15	0.9	Top	MisAligned	15
16	0.9833333333333333	Top	MisAligned	16
17	0.95	Top	MisAligned	17
18	0.8166666666666667	Top	MisAligned	18
19	0.9666666666666667	Top	MisAligned	19
20	0.9166666666666666	Top	MisAligned	20
1	0.7833333333333333	Bottom	Aligned	1
2	0.9333333333333333	Bottom	Aligned	2
3	0.75	Bottom	Aligned	3
4	0.43333333333333335	Bottom	Aligned	4
5	0.9	Bottom	Aligned	5
6	0.8833333333333333	Bottom	Aligned	6
7	0.7333333333333333	Bottom	Aligned	7
8	0.6666666666666666	Bottom	Aligned	8
9	0.85	Bottom	Aligned	9
10	0.7833333333333333	Bottom	Aligned	10
11	0.7333333333333333	Bottom	Aligned	11
12	0.16666666666666666	Bottom	Aligned	12
13	0.95	Bottom	Aligned	13
14	0.9333333333333333	Bottom	Aligned	14
15	0.95	Bottom	Aligned	15
16	0.7666666666666667	Bottom	Aligned	16
17	0.45	Bottom	Aligned	17
18	0.85	Bottom	Aligned	18
19	0.9333333333333333	Bottom	Aligned	19
20	0.08333333333333333	Bottom	Aligned	20
1	0.9333333333333333	Bottom	MisAligned	1
2	0.8166666666666667	Bottom	MisAligned	2
3	0.8	Bottom	MisAligned	3
4	0.5166666666666667	Bottom	MisAligned	4
5	0.9	Bottom	MisAligned	5
6	0.9833333333333333	Bottom	MisAligned	6
7	0.7	Bottom	MisAligned	7
8	0.65	Bottom	MisAligned	8
9	0.9	Bottom	MisAligned	9
10	0.7166666666666667	Bottom	MisAligned	10
11	0.85	Bottom	MisAligned	11
12	0.05	Bottom	MisAligned	12
13	0.9166666666666666	Bottom	MisAligned	13
14	0.9	Bottom	MisAligned	14
15	1.0	Bottom	MisAligned	15
16	0.85	Bottom	MisAligned	16
17	0.36666666666666664	Bottom	MisAligned	17
18	0.9333333333333333	Bottom	MisAligned	18
19	0.8833333333333333	Bottom	MisAligned	19
20	0.11666666666666667	Bottom	MisAligned	20
