	Response Time (ms)	Cue Prob	Alignment	Congruency	CuedHalf	Participant
88	494.4438465870917	25 cue	Aligned	Congruent	Bottom	27
89	467.7812345087146	25 cue	Aligned	Congruent	Bottom	28
90	1105.1118112042209	25 cue	Aligned	Congruent	Bottom	29
91	566.9312317093666	25 cue	Aligned	Congruent	Bottom	30
92	712.7605009385768	25 cue	Aligned	Congruent	Bottom	31
93	1033.8088404175571	25 cue	MisAligned	Congruent	Bottom	1
94	1660.106990619776	25 cue	MisAligned	Congruent	Bottom	2
95	775.9557244313445	25 cue	MisAligned	Congruent	Bottom	3
96	1003.0792233998192	25 cue	MisAligned	Congruent	Bottom	4
97	642.9562805276987	25 cue	MisAligned	Congruent	Bottom	5
98	778.4780022232667	25 cue	MisAligned	Congruent	Bottom	6
99	1128.4868090927287	25 cue	MisAligned	Congruent	Bottom	7
100	648.9082581856998	25 cue	MisAligned	Congruent	Bottom	8
101	1382.181219670149	25 cue	MisAligned	Congruent	Bottom	9
102	465.1002121299306	25 cue	MisAligned	Congruent	Bottom	10
103	627.4681268484061	25 cue	MisAligned	Congruent	Bottom	11
104	1464.8065521059834	25 cue	MisAligned	Congruent	Bottom	12
105	724.7281656765034	25 cue	MisAligned	Congruent	Bottom	13
106	714.6538992268795	25 cue	MisAligned	Congruent	Bottom	14
107	746.3162415163335	25 cue	MisAligned	Congruent	Bottom	15
108	654.9728898373961	25 cue	MisAligned	Congruent	Bottom	16
109	1273.9390316413326	25 cue	MisAligned	Congruent	Bottom	17
110	551.3832288925187	25 cue	MisAligned	Congruent	Bottom	18
111	493.9251358510874	25 cue	MisAligned	Congruent	Bottom	19
112	463.391364328205	25 cue	MisAligned	Congruent	Bottom	20
113	1161.5917929189488	25 cue	MisAligned	Congruent	Bottom	21
114	775.5507872490263	25 cue	MisAligned	Congruent	Bottom	22
115	595.9710668471149	25 cue	MisAligned	Congruent	Bottom	23
116	1750.9531146260324	25 cue	MisAligned	Congruent	Bottom	24
117	1246.1815250156048	25 cue	MisAligned	Congruent	Bottom	25
118	419.1649289423367	25 cue	MisAligned	Congruent	Bottom	26
119	493.46700664942284	25 cue	MisAligned	Congruent	Bottom	27
120	574.0337960564325	25 cue	MisAligned	Congruent	Bottom	28
121	1140.7984864698458	25 cue	MisAligned	Congruent	Bottom	29
122	616.6188493971864	25 cue	MisAligned	Congruent	Bottom	30
123	807.1045794434124	25 cue	MisAligned	Congruent	Bottom	31
124	693.5188227629799	25 cue	Aligned	Incongruent	Top	1
125	2292.923848252993	25 cue	Aligned	Incongruent	Top	2
126	799.0985676080223	25 cue	Aligned	Incongruent	Top	3
127	684.176274330887	25 cue	Aligned	Incongruent	Top	4
128	454.1006294642872	25 cue	Aligned	Incongruent	Top	5
129	562.0785982612721	25 cue	Aligned	Incongruent	Top	6
130	920.8965981112366	25 cue	Aligned	Incongruent	Top	7
131	363.70008093786055	25 cue	Aligned	Incongruent	Top	8
132	900.2838157342082	25 cue	Aligned	Incongruent	Top	9
133	653.5662744566199	25 cue	Aligned	Incongruent	Top	10
134	853.1653315422933	25 cue	Aligned	Incongruent	Top	11
135	923.0849171228903	25 cue	Aligned	Incongruent	Top	12
136	619.7902338839776	25 cue	Aligned	Incongruent	Top	13
137	1831.6171275660895	25 cue	Aligned	Incongruent	Top	14
138	865.9461994990189	25 cue	Aligned	Incongruent	Top	15
139	606.0777733327996	25 cue	Aligned	Incongruent	Top	16
140	744.7530954544034	25 cue	Aligned	Incongruent	Top	17
141	742.3221388045412	25 cue	Aligned	Incongruent	Top	18
142	517.16593106709	25 cue	Aligned	Incongruent	Top	19
143	263.940254735644	25 cue	Aligned	Incongruent	Top	20
144	863.6521732826766	25 cue	Aligned	Incongruent	Top	21
145	1105.8532041613944	25 cue	Aligned	Incongruent	Top	22
146	955.3881145649307	25 cue	Aligned	Incongruent	Top	23
147	778.1363085895363	25 cue	Aligned	Incongruent	Top	24
148	925.0243758200668	25 cue	Aligned	Incongruent	Top	25
149	746.2678623672289	25 cue	Aligned	Incongruent	Top	26
150	759.651488869598	25 cue	Aligned	Incongruent	Top	27
151	605.2587895343701	25 cue	Aligned	Incongruent	Top	28
152	743.6276387423277	25 cue	Aligned	Incongruent	Top	29
153	834.2933319297365	25 cue	Aligned	Incongruent	Top	30
154	1008.2753342809157	25 cue	Aligned	Incongruent	Top	31
155	681.6844664999129	25 cue	MisAligned	Incongruent	Top	1
156	1696.0696210757621	25 cue	MisAligned	Incongruent	Top	2
157	799.4382435189209	25 cue	MisAligned	Incongruent	Top	3
158	571.9559570089283	25 cue	MisAligned	Incongruent	Top	4
159	428.91622413662844	25 cue	MisAligned	Incongruent	Top	5
160	739.0482738904735	25 cue	MisAligned	Incongruent	Top	6
161	1517.2317054789996	25 cue	MisAligned	Incongruent	Top	7
162	431.1133650695583	25 cue	MisAligned	Incongruent	Top	8
163	866.0912884529656	25 cue	MisAligned	Incongruent	Top	9
164	689.1285886419064	25 cue	MisAligned	Incongruent	Top	10
165	885.584873682496	25 cue	MisAligned	Incongruent	Top	11
166	991.8360657017425	25 cue	MisAligned	Incongruent	Top	12
167	564.4395914485078	25 cue	MisAligned	Incongruent	Top	13
168	1618.9736150425654	25 cue	MisAligned	Incongruent	Top	14
169	768.5240845346357	25 cue	MisAligned	Incongruent	Top	15
170	591.1278578684594	25 cue	MisAligned	Incongruent	Top	16
171	1002.0981530542485	25 cue	MisAligned	Incongruent	Top	17
172	745.9097052030096	25 cue	MisAligned	Incongruent	Top	18
173	582.4563905556488	25 cue	MisAligned	Incongruent	Top	19
174	345.1311339507811	25 cue	MisAligned	Incongruent	Top	20
175	997.9345834263686	25 cue	MisAligned	Incongruent	Top	21
176	1059.9634597839959	25 cue	MisAligned	Incongruent	Top	22
177	870.8957847993588	25 cue	MisAligned	Incongruent	Top	23
178	927.8260381892323	25 cue	MisAligned	Incongruent	Top	24
179	745.008260446965	25 cue	MisAligned	Incongruent	Top	25
180	597.0577838597819	25 cue	MisAligned	Incongruent	Top	26
181	626.710927223458	25 cue	MisAligned	Incongruent	Top	27
182	601.2132099660282	25 cue	MisAligned	Incongruent	Top	28
183	955.3807361323076	25 cue	MisAligned	Incongruent	Top	29
184	861.0836725716514	25 cue	MisAligned	Incongruent	Top	30
185	929.0048089050861	25 cue	MisAligned	Incongruent	Top	31
186	916.4173747575842	25 cue	Aligned	Incongruent	Bottom	1
187	2326.2828358177408	25 cue	Aligned	Incongruent	Bottom	2
188	520.601177349885	25 cue	Aligned	Incongruent	Bottom	3
189	1207.9126229051494	25 cue	Aligned	Incongruent	Bottom	4
190	628.8116465821943	25 cue	Aligned	Incongruent	Bottom	5
191	786.404759617414	25 cue	Aligned	Incongruent	Bottom	6
192	1094.822784740245	25 cue	Aligned	Incongruent	Bottom	7
193	803.1066003793305	25 cue	Aligned	Incongruent	Bottom	8
194	1538.2105562511056	25 cue	Aligned	Incongruent	Bottom	9
195	520.8746271800129	25 cue	Aligned	Incongruent	Bottom	10
196	709.6664758961803	25 cue	Aligned	Incongruent	Bottom	11
197	1238.599821471408	25 cue	Aligned	Incongruent	Bottom	12
198	737.8156243756403	25 cue	Aligned	Incongruent	Bottom	13
199	881.903348075756	25 cue	Aligned	Incongruent	Bottom	14
200	726.8168043410697	25 cue	Aligned	Incongruent	Bottom	15
201	711.6264185361118	25 cue	Aligned	Incongruent	Bottom	16
202	1084.6141098280734	25 cue	Aligned	Incongruent	Bottom	17
203	572.1710460546699	25 cue	Aligned	Incongruent	Bottom	18
204	531.8690078165673	25 cue	Aligned	Incongruent	Bottom	19
205	437.6867697785862	25 cue	Aligned	Incongruent	Bottom	20
206	1158.8886324538005	25 cue	Aligned	Incongruent	Bottom	21
207	924.0729537559673	25 cue	Aligned	Incongruent	Bottom	22
208	518.5599762771744	25 cue	Aligned	Incongruent	Bottom	23
209	1850.8986401138827	25 cue	Aligned	Incongruent	Bottom	24
210	927.5584915531394	25 cue	Aligned	Incongruent	Bottom	25
211	475.0094899971937	25 cue	Aligned	Incongruent	Bottom	26
212	497.52229926417823	25 cue	Aligned	Incongruent	Bottom	27
213	686.3668258107888	25 cue	Aligned	Incongruent	Bottom	28
214	1118.5627659368847	25 cue	Aligned	Incongruent	Bottom	29
215	799.8382934663249	25 cue	Aligned	Incongruent	Bottom	30
