Participant	reactionTime	CuedHalf	Alignment	participant	Probability
14	0.6747127112620921	Bottom	MisAligned	14	25cueTarget
15	0.5782290356278786	Bottom	MisAligned	15	25cueTarget
16	0.8412020199307575	Bottom	MisAligned	16	25cueTarget
17	0.730888660477774	Bottom	MisAligned	17	25cueTarget
18	1.271118914089205	Bottom	MisAligned	18	25cueTarget
19	0.5528107969551527	Bottom	MisAligned	19	25cueTarget
20	0.7533968136558542	Bottom	MisAligned	20	25cueTarget
21	0.4886746509000659	Bottom	MisAligned	21	25cueTarget
22	1.1701935202872846	Bottom	MisAligned	22	25cueTarget
23	0.8200571411289275	Bottom	MisAligned	23	25cueTarget
24	0.46571222330782225	Bottom	MisAligned	24	25cueTarget
25	1.269479668200282	Bottom	MisAligned	25	25cueTarget
26	1.0553740567814272	Bottom	MisAligned	26	25cueTarget
27	0.5661665341144221	Bottom	MisAligned	27	25cueTarget
28	0.5230694101483095	Bottom	MisAligned	28	25cueTarget
29	0.4935972331246982	Bottom	MisAligned	29	25cueTarget
30	1.21495382344195	Bottom	MisAligned	30	25cueTarget
31	0.5880886994048276	Bottom	MisAligned	31	25cueTarget
32	0.7860872623568866	Bottom	MisAligned	32	25cueTarget
1	0.7711251843642318	Top	Aligned	1	75cueTarget
2	1.0107364781464352	Top	Aligned	2	75cueTarget
3	0.6569738107524851	Top	Aligned	3	75cueTarget
4	0.5662396132649974	Top	Aligned	4	75cueTarget
5	0.5384402873228803	Top	Aligned	5	75cueTarget
6	0.38409210400099186	Top	Aligned	6	75cueTarget
7	0.405679477152763	Top	Aligned	7	75cueTarget
8	0.9715075861578787	Top	Aligned	8	75cueTarget
9	0.48738509950771913	Top	Aligned	9	75cueTarget
10	0.9308969073436562	Top	Aligned	10	75cueTarget
11	0.4936292234464306	Top	Aligned	11	75cueTarget
12	0.5659438984919963	Top	Aligned	12	75cueTarget
13	0.9637489146979143	Top	Aligned	13	75cueTarget
14	0.5901102696438483	Top	Aligned	14	75cueTarget
15	0.5242203965278938	Top	Aligned	15	75cueTarget
16	0.544692123157087	Top	Aligned	16	75cueTarget
17	0.5865688959870196	Top	Aligned	17	75cueTarget
18	1.1388988872229069	Top	Aligned	18	75cueTarget
19	0.4869854283803121	Top	Aligned	19	75cueTarget
20	0.47546942063054304	Top	Aligned	20	75cueTarget
21	0.4015956282976787	Top	Aligned	21	75cueTarget
22	0.8347769199788351	Top	Aligned	22	75cueTarget
23	0.7313409648533609	Top	Aligned	23	75cueTarget
24	0.54205097169192	Top	Aligned	24	75cueTarget
25	1.2356427618541528	Top	Aligned	25	75cueTarget
26	0.8244274125097255	Top	Aligned	26	75cueTarget
27	0.5476080084164792	Top	Aligned	27	75cueTarget
28	0.44096757198662256	Top	Aligned	28	75cueTarget
29	0.49372266682136495	Top	Aligned	29	75cueTarget
30	0.7540856302978519	Top	Aligned	30	75cueTarget
